session_id,date,time,location_name,zone,lat,lon,photo,notes
S01,6/17/2026,7:26,,,41.01111,-80.61784,,time approximate (header not captured; ~10 min before S02)
S02,6/17/2026,7:34,,,41.0118,-80.61926,,
S03,6/18/2026,6:23,,,41.01396,-80.62226,,interior forest; habitat photo on file
S04,6/18/2026,6:32,,,41.01421,-80.62478,,
S05,6/18/2026,6:39,,,41.01269,-80.62428,,
S06,6/19/2026,7:45,,,41.01429,-80.62599,,
S07,6/19/2026,7:57,,,41.01538,-80.62909,,westmost; near I-680
S08,6/20/2026,7:10,,,41.01742,-80.62918,,westmost; near I-680
S09,6/20/2026,7:20,,,41.01693,-80.62547,,
S10,6/21/2026,6:00,,,41.01668,-80.62401,,
S11,6/21/2026,6:10,,,41.01607,-80.62232,,
S12,6/22/2026,7:08,,,41.01645,-80.61939,,143 College Ln (east edge near Yellow Creek)
S13,6/22/2026,7:16,,,41.01557,-80.61757,,eastmost
S14,6/23/2026,7:05,,,41.0126,-80.62032,,
S15,6/23/2026,7:15,,,41.00932,-80.61998,,southernmost
